storm_id,sample_id,sample_type,sample_time
'2021-01','St21-01_BMP_ETW_DS','Stormwater',"to_date('11-18-2020 11:40','mm-dd-yyyy hh24:mi')"
'2021-01','St21-01_West_OF1','Stormwater',"to_date('11-18-2020 12:00','mm-dd-yyyy hh24:mi')"
'2021-01','St21-01_West_OF1_dup','Stormwater',"to_date('11-18-2020 12:20','mm-dd-yyyy hh24:mi')"
'2021-01','St21-01_North_OF1','Stormwater',"to_date('11-18-2020 12:40','mm-dd-yyyy hh24:mi')"
'2021-01','St21-01_East_OF1','Stormwater',"to_date('11-18-2020 13:00','mm-dd-yyyy hh24:mi')"
'2021-01','St21-01_East_OF2','Stormwater',"to_date('11-18-2020 13:20','mm-dd-yyyy hh24:mi')"
'2021-01','St21-01_Stream','Stormwater',"to_date('11-18-2020 13:40','mm-dd-yyyy hh24:mi')"
'2021-02','St21-02_blank','Blank',"to_date('12-20-2020 12:50','mm-dd-yyyy hh24:mi')"
'2021-02','St21-02_BMP_NTIB_US','Stormwater',"to_date('12-20-2020 11:10','mm-dd-yyyy hh24:mi')"
'2021-02','St21-02_BMP_VRIT_US','Stormwater',"to_date('12-20-2020 11:20','mm-dd-yyyy hh24:mi')"
'2021-02','St21-02_BMP_SVS_US','Stormwater',"to_date('12-20-2020 11:50','mm-dd-yyyy hh24:mi')"
'2021-02','St21-02_BMP_WTBB_US','Stormwater',"to_date('12-20-2020 12:20','mm-dd-yyyy hh24:mi')"
'2021-02','St21-02_BMP_VRBB_US','Stormwater',"to_date('12-20-2020 12:40','mm-dd-yyyy hh24:mi')"
'2021-02','St21-02_BMP_ETW_US','Stormwater',"to_date('12-20-2020 13:20','mm-dd-yyyy hh24:mi')"
'2021-02','St21-02_BMP_QRIB_US','Stormwater',"to_date('12-20-2020 14:00','mm-dd-yyyy hh24:mi')"
'2021-02','St21-02_BMP_SVS_DS','Stormwater',"to_date('12-20-2020 14:20','mm-dd-yyyy hh24:mi')"
'2021-02','St21-02_BMP_ETW_DS','Stormwater',"to_date('12-20-2020 14:40','mm-dd-yyyy hh24:mi')"
'2021-02','St21-02_West_OF1','Stormwater',"to_date('12-20-2020 15:00','mm-dd-yyyy hh24:mi')"
'2021-02','St21-02_North_OF1','Stormwater',"to_date('12-20-2020 15:20','mm-dd-yyyy hh24:mi')"
'2021-02','St21-02_East_OF1','Stormwater',"to_date('12-20-2020 15:40','mm-dd-yyyy hh24:mi')"
'2021-02','St21-02_East_OF2','Stormwater',"to_date('12-20-2020 16:00','mm-dd-yyyy hh24:mi')"
'2021-02','St21-02_East_OF2_dup','Stormwater',"to_date('12-20-2020 16:20','mm-dd-yyyy hh24:mi')"
'2021-02','St21-02_Stream','Stormwater',"to_date('12-20-2020 16:40','mm-dd-yyyy hh24:mi')"
'2021-03','St21-03_blank','Blank',"to_date('01-21-2020 12:50','mm-dd-yyyy hh24:mi')"
'2021-03','St21-03_BMP_NTIB_US','Stormwater',"to_date('01-21-2020 11:10','mm-dd-yyyy hh24:mi')"
'2021-03','St21-03_BMP_VRIT_US','Stormwater',"to_date('01-21-2020 11:20','mm-dd-yyyy hh24:mi')"
'2021-03','St21-03_BMP_SVS_US','Stormwater',"to_date('01-21-2020 11:50','mm-dd-yyyy hh24:mi')"
'2021-03','St21-03_BMP_WTBB_US','Stormwater',"to_date('01-21-2020 12:20','mm-dd-yyyy hh24:mi')"
'2021-03','St21-03_BMP_VRBB_US','Stormwater',"to_date('01-21-2020 12:40','mm-dd-yyyy hh24:mi')"
'2021-03','St21-03_BMP_ETW_US','Stormwater',"to_date('01-21-2020 13:20','mm-dd-yyyy hh24:mi')"
'2021-03','St21-03_BMP_QRIB_US','Stormwater',"to_date('01-21-2020 14:00','mm-dd-yyyy hh24:mi')"
'2021-03','St21-03_BMP_SVS_DS','Stormwater',"to_date('01-21-2020 14:20','mm-dd-yyyy hh24:mi')"
'2021-03','St21-03_BMP_ETW_DS','Stormwater',"to_date('01-21-2020 14:40','mm-dd-yyyy hh24:mi')"
'2021-03','St21-03_West_OF1','Stormwater',"to_date('01-21-2020 15:00','mm-dd-yyyy hh24:mi')"
'2021-03','St21-03_North_OF1','Stormwater',"to_date('01-21-2020 15:20','mm-dd-yyyy hh24:mi')"
'2021-03','St21-03_East_OF1','Stormwater',"to_date('01-21-2020 15:40','mm-dd-yyyy hh24:mi')"
'2021-03','St21-03_East_OF1_dup','Stormwater',"to_date('01-21-2020 16:00','mm-dd-yyyy hh24:mi')"
'2021-03','St21-03_East_OF2','Stormwater',"to_date('01-21-2020 16:20','mm-dd-yyyy hh24:mi')"
'2021-03','St21-03_Stream','Stormwater',"to_date('01-21-2020 16:40','mm-dd-yyyy hh24:mi')"
'2021-04','St21-04_blank','Blank',"to_date('02-09-2021 09:50','mm-dd-yyyy hh24:mi')"
'2021-04','St21-04_BMP_NTIB_US','Stormwater',"to_date('02-09-2021 08:10','mm-dd-yyyy hh24:mi')"
'2021-04','St21-04_BMP_NTIB_US_dup','Stormwater',"to_date('02-09-2021 08:20','mm-dd-yyyy hh24:mi')"
'2021-04','St21-04_BMP_VRIT_US','Stormwater',"to_date('02-09-2021 08:50','mm-dd-yyyy hh24:mi')"
'2021-04','St21-04_BMP_SVS_US','Stormwater',"to_date('02-09-2021 09:20','mm-dd-yyyy hh24:mi')"
'2021-04','St21-04_BMP_WTBB_US','Stormwater',"to_date('02-09-2021 09:40','mm-dd-yyyy hh24:mi')"
'2021-04','St21-04_BMP_VRBB_US','Stormwater',"to_date('02-09-2021 10:20','mm-dd-yyyy hh24:mi')"
'2021-04','St21-04_BMP_ETW_US','Stormwater',"to_date('02-09-2021 11:00','mm-dd-yyyy hh24:mi')"
'2021-04','St21-04_BMP_QRIB_US','Stormwater',"to_date('02-09-2021 11:20','mm-dd-yyyy hh24:mi')"
'2021-04','St21-04_BMP_SVS_DS','Stormwater',"to_date('02-09-2021 11:40','mm-dd-yyyy hh24:mi')"
'2021-04','St21-04_BMP_ETW_DS','Stormwater',"to_date('02-09-2021 12:00','mm-dd-yyyy hh24:mi')"
'2021-04','St21-04_West_OF1','Stormwater',"to_date('02-09-2021 12:20','mm-dd-yyyy hh24:mi')"
'2021-04','St21-04_North_OF1','Stormwater',"to_date('02-09-2021 12:40','mm-dd-yyyy hh24:mi')"
'2021-04','St21-04_East_OF1','Stormwater',"to_date('02-09-2021 13:00','mm-dd-yyyy hh24:mi')"
'2021-04','St21-04_East_OF2','Stormwater',"to_date('02-09-2021 13:20','mm-dd-yyyy hh24:mi')"
'2021-04','St21-04_Stream','Stormwater',"to_date('02-09-2021 13:40','mm-dd-yyyy hh24:mi')"
'2022-01','St22-01_blank','Blank',"to_date('09-19-2021 09:50','mm-dd-yyyy hh24:mi')"
'2022-01','St22-01_BMP_NTIB_US','Stormwater',"to_date('09-19-2021 08:10','mm-dd-yyyy hh24:mi')"
'2022-01','St22-01_BMP_VRIT_US','Stormwater',"to_date('09-19-2021 08:20','mm-dd-yyyy hh24:mi')"
'2022-01','St22-01_BMP_SVS_US','Stormwater',"to_date('09-19-2021 08:50','mm-dd-yyyy hh24:mi')"
'2022-01','St22-01_BMP_WTBB_US','Stormwater',"to_date('09-19-2021 09:20','mm-dd-yyyy hh24:mi')"
'2022-01','St22-01_BMP_WTBB_US_dup','Stormwater',"to_date('09-19-2021 09:40','mm-dd-yyyy hh24:mi')"
'2022-01','St22-01_BMP_VRBB_US','Stormwater',"to_date('09-19-2021 10:20','mm-dd-yyyy hh24:mi')"
'2022-01','St22-01_BMP_ETW_US','Stormwater',"to_date('09-19-2021 11:00','mm-dd-yyyy hh24:mi')"
'2022-01','St22-01_BMP_QRIB_US','Stormwater',"to_date('09-19-2021 11:20','mm-dd-yyyy hh24:mi')"
'2022-01','St22-01_BMP_SVS_DS','Stormwater',"to_date('09-19-2021 11:40','mm-dd-yyyy hh24:mi')"
'2022-01','St22-01_BMP_ETW_DS','Stormwater',"to_date('09-19-2021 12:00','mm-dd-yyyy hh24:mi')"
'2022-01','St22-01_West_OF1','Stormwater',"to_date('09-19-2021 12:20','mm-dd-yyyy hh24:mi')"
'2022-01','St22-01_North_OF1','Stormwater',"to_date('09-19-2021 12:40','mm-dd-yyyy hh24:mi')"
'2022-01','St22-01_East_OF1','Stormwater',"to_date('09-19-2021 13:00','mm-dd-yyyy hh24:mi')"
'2022-01','St22-01_East_OF2','Stormwater',"to_date('09-19-2021 13:20','mm-dd-yyyy hh24:mi')"
'2022-01','St22-01_Stream','Stormwater',"to_date('09-19-2021 13:40','mm-dd-yyyy hh24:mi')"
'2022-02','St22-02_blank','Blank',"to_date('11-15-2021 09:50','mm-dd-yyyy hh24:mi')"
'2022-02','St22-02_BMP_NTIB_US','Stormwater',"to_date('11-15-2021 08:10','mm-dd-yyyy hh24:mi')"
'2022-02','St22-02_BMP_NTIB_US_dup','Stormwater',"to_date('11-15-2021 08:20','mm-dd-yyyy hh24:mi')"
'2022-02','St22-02_BMP_VRIT_US','Stormwater',"to_date('11-15-2021 08:50','mm-dd-yyyy hh24:mi')"
'2022-02','St22-02_BMP_SVS_US','Stormwater',"to_date('11-15-2021 09:20','mm-dd-yyyy hh24:mi')"
'2022-02','St22-02_BMP_WTBB_US','Stormwater',"to_date('11-15-2021 09:40','mm-dd-yyyy hh24:mi')"
'2022-02','St22-02_BMP_VRBB_US','Stormwater',"to_date('11-15-2021 10:20','mm-dd-yyyy hh24:mi')"
'2022-02','St22-02_BMP_ETW_US','Stormwater',"to_date('11-15-2021 11:00','mm-dd-yyyy hh24:mi')"
'2022-02','St22-02_BMP_QRIB_US','Stormwater',"to_date('11-15-2021 11:20','mm-dd-yyyy hh24:mi')"
'2022-02','St22-02_BMP_SVS_DS','Stormwater',"to_date('11-15-2021 11:40','mm-dd-yyyy hh24:mi')"
'2022-02','St22-02_BMP_ETW_DS','Stormwater',"to_date('11-15-2021 12:00','mm-dd-yyyy hh24:mi')"
'2022-02','St22-02_West_OF1','Stormwater',"to_date('11-15-2021 12:20','mm-dd-yyyy hh24:mi')"
'2022-02','St22-02_North_OF1','Stormwater',"to_date('11-15-2021 12:40','mm-dd-yyyy hh24:mi')"
'2022-02','St22-02_East_OF1','Stormwater',"to_date('11-15-2021 13:00','mm-dd-yyyy hh24:mi')"
'2022-02','St22-02_East_OF2','Stormwater',"to_date('11-15-2021 13:20','mm-dd-yyyy hh24:mi')"
'2022-02','St22-02_Stream','Stormwater',"to_date('11-15-2021 13:40','mm-dd-yyyy hh24:mi')"
'2022-03','St22-03_blank','Blank',"to_date('11-26-2021 09:50','mm-dd-yyyy hh24:mi')"
'2022-03','St22-03_BMP_NTIB_US','Stormwater',"to_date('11-26-2021 08:10','mm-dd-yyyy hh24:mi')"
'2022-03','St22-03_BMP_VRIT_US','Stormwater',"to_date('11-26-2021 08:20','mm-dd-yyyy hh24:mi')"
'2022-03','St22-03_BMP_SVS_US','Stormwater',"to_date('11-26-2021 08:50','mm-dd-yyyy hh24:mi')"
'2022-03','St22-03_BMP_WTBB_US','Stormwater',"to_date('11-26-2021 09:20','mm-dd-yyyy hh24:mi')"
'2022-03','St22-03_BMP_VRBB_US','Stormwater',"to_date('11-26-2021 09:40','mm-dd-yyyy hh24:mi')"
'2022-03','St22-03_BMP_ETW_US','Stormwater',"to_date('11-26-2021 10:20','mm-dd-yyyy hh24:mi')"
'2022-03','St22-03_BMP_QRIB_US','Stormwater',"to_date('11-26-2021 11:00','mm-dd-yyyy hh24:mi')"
'2022-03','St22-03_BMP_QRIB_US_dup','Stormwater',"to_date('11-26-2021 11:20','mm-dd-yyyy hh24:mi')"
'2022-03','St22-03_BMP_SVS_DS','Stormwater',"to_date('11-26-2021 11:40','mm-dd-yyyy hh24:mi')"
'2022-03','St22-03_BMP_ETW_DS','Stormwater',"to_date('11-26-2021 12:00','mm-dd-yyyy hh24:mi')"
'2022-03','St22-03_West_OF1','Stormwater',"to_date('11-26-2021 12:20','mm-dd-yyyy hh24:mi')"
'2022-03','St22-03_North_OF1','Stormwater',"to_date('11-26-2021 12:40','mm-dd-yyyy hh24:mi')"
'2022-03','St22-03_East_OF1','Stormwater',"to_date('11-26-2021 13:00','mm-dd-yyyy hh24:mi')"
'2022-03','St22-03_East_OF2','Stormwater',"to_date('11-26-2021 13:20','mm-dd-yyyy hh24:mi')"
'2022-03','St22-03_Stream','Stormwater',"to_date('11-26-2021 13:40','mm-dd-yyyy hh24:mi')"
